sentence1,sentence2,similarity_score
"Halliburton on Tuesday reiterated its contention that KBR had ""delivered fuel to Iraq at the best value, the best price and the best terms"".","""We believe KBR delivered fuel to Iraq at the best value, the best price and the best terms,"" Halliburton spokeswoman Wendy Hall said.",4.0
Prosecutors did an about-face in May and asked that the autopsy reports be unsealed after portions of Conner Peterson's autopsy report favorable to the defense were leaked to the media.,They asked that the autopsy reports be unsealed after portions of the autopsy report on Peterson's unborn son that were favorable to the defense were leaked to the media.,4.0
A white airplane is parked on the cement.,A blue motorcycle is parked on the sidewalk.,0.800000011920929
A man with a messenger bag in front of a gray tile wall.,Man in red jacket standing in front of lighthouse.,0.800000011920929
"""Tomorrow at the Mission Inn, I have the opportunity to congratulate the governor-elect of the great state of California.","""I have the opportunity to congratulate the governor-elect of the great state of California, and I'm looking forward to it.""",4.0
"For fiction, I have little proof to show of blogs being published as print and/or ebooks.","To answer your question, yes, I think blogging your fiction will hurt your attempts to be traditionally published later.",1.7999999523162842
"About 22% of twentysomethings are obese, which is roughly 30 pounds over a healthy weight.",About 31 percent of Americans are now obese — roughly 30 or more pounds over a healthy weight.,2.5999999046325684
"Median household income declined 1.1 percent between 2001 and 2002 to $42,409, after accounting for inflation.","The same survey found the median household income rose by $51, when accounting for inflation, to $43,057.",1.399999976158142
I think he'd be better for American business interests overall.,Would he be better for American society?,1.600000023841858
"Announcing the selection, Kmart CEO Julian Day said Grey will help the retailer ""find creative ways to communicate the unique strengths of Kmart to the new America consumer.""","Together, we will find creative ways to communicate the unique strengths of Kmart to the 'new America' consumer.""",3.25
Novice 'steered South Korea ferry',South Korea ferry captain arrested,2.400000095367432
vietnam has among the world's strictest drug laws.,vietnam's drug laws are among the world's strictest laws.,5.0
Small boat going down a creek.,a boat moving in a river.,3.0
Ukraine's jailed opposition icon Tymoshenko walks free,Ukraine's opposition chief wants more protests,2.0
Red October standing by.,Red Fox standing by.,2.0
"Through Thursday, Oracle said 34.75 million PeopleSoft shares had been tendered.","Some 34.7 million shares have been tendered, Oracle said in a statement.",3.75
Narendra Modi 'photoshopped' image of Chennai floods visit goes viral,PM Narendra Modi speaks of non-discrimination and equality,0.0
A skier going down the snowy hill.,A brown dog is laying in the snow.,0.4000000059604645
"""If we could do that throughout the world, we could end terrorism,"" he said.","This is a hospital that treats everybody as people, and if we could do that throughout the world, we could end terrorism.""",3.5
Mauritanian president shot by army unit,Mauritanian president shot at,3.799999952316284
Two men are playing football.,Two men are practicing football.,3.400000095367432
The panel ordered the Commerce Department to issue revised figures for the duties within 60 days.,It called on the Commerce Department to respond within 60 days.,2.5999999046325684
A woman is doing weight exercises.,A woman is exercising with a barbell.,3.5
French train derails south of Paris,French train passengers tell of crash ordeal,1.2000000476837158
A man is playing a flute.,A dog is barking at a fly.,0.0
Train in a station.,Trains inside an indoor station.,3.799999952316284
A man plays the piano.,A man is playing a piano.,5.0
A man cuts up potatos.,A man slices potatoes.,4.800000190734863
Google names new Motorola Mobility CEO,Google appoints Dennis Woodside to run Motorola Mobility,3.799999952316284
Two girls with ponytails ride an amusement park ride.,A young girl is on a ride at an amusement park.,3.0
The woman is smoking.,The man is walking.,0.2000000029802322
A black poodle plays in the snow.,A black poodle frolics in the snow.,5.0
Mali hunts jihadist nightclub killers,Militants attack UN as Mali hunts jihadist nightclub killers,3.0
"People who have opposed these actions throughout are now trying to find fresh reasons to say this wasn't the right thing to do.""","""What is happening here is that people who have opposed this action throughout are trying to find fresh reasons why it was not the right thing to do.""",4.0
A woman is cutting an onion.,A woman is cutting meat.,2.0
Two puppies are playing with each other.,Some men are playing soccer.,0.2000000029802322
Algeria president gets therapy after stroke: state media,Bulgarian president tries to break election stalemate,0.4000000059604645
The research firm earlier had forecast an increase of 4.9 percent.,The firm had predicted earlier this year a 4.9 percent increase.,4.800000190734863
A man is playing a flute.,A man is playing a bamboo flute.,3.867000102996826
A man is playing his guitar at Joe's Cafe.,The man is playing the drums for his mom.,1.2000000476837158
A smiling man and a baby girl posing for photo.,A smiling man holds a small child wearing pink and red.,3.200000047683716
A man in jeans is playing with a ball while a woman in jeans stands nearby looking away.,A man is tying a red arm band around another mans arm in the street.,0.0
Batman and Robin fly a helicopter over water.,A helicopter flies over water.,2.5999999046325684
North Korea's third test brings it closer to nuclear power status,NATO says North Korea nuclear test is grave threat to world peace,2.200000047683716
Qaida leader calls for kidnap of Westerners in Egypt,Al-Qaida Leader Urges Kidnapping of Westerners,3.5999999046325684
Classical Gas We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.,3.0
A young blonde girl wearing a smile and a bicycle helmet.,A young girl wearing a bike helmet with a bicycle in the background.,3.799999952316284
Three teenage girls danced in the room.,Some teenage girls are dancing for the camera.,2.400000095367432
"On the upside, Coca-Cola Co. (nyse: KO - news - people) reported higher profit for the quarter early on Thursday, helped by European demand.","Coca-Cola Co. (KO) reported higher profit for the quarter, helped by European demand, early on Thursday.",4.599999904632568
Tokyo stocks open down 0.24%,Tokyo stocks open up 0.52%,2.799999952316284
A monkey is swinging from limb to limb.,A monkey is swinging from tree to tree.,3.400000095367432
NYPD Twitter Outreach Backfires Badly,NYPD's twitter campaign backfires,4.800000190734863
These are tickets to the archaeological sites of Epidaurus (which includes the still in use theatre) and Mycenae.,I guess those are greek tickets (εισιτηριον) for excavation sites or museums.,2.5999999046325684
38 Taliban militants killed in Afghanistan,Taliban attacks US base in Afghanistan,1.2000000476837158
The man is slicing a fish open.,A man is slicing a potato.,2.200000047683716
An arrest warrant claimed Bryant assaulted the woman June 30 at a hotel.,"According to an arrest warrant, Bryant, 24, attacked a woman on June 30.",4.25
A boy waves around a sparkler.,A young boy is twisting a sparkler around in the air.,4.400000095367432
The kids are at the theater watching a movie.,it is picture day for the boys,0.2000000029802322
A woman is peeling some fish.,A woman is pouring a yellow mixture on a frying pan.,1.2000000476837158
A man is playing a wooden flute while several other men play bongo drums.,A man is playing a flute.,3.25
Nterprise Linux Services is expected to be available before then end of this year.,Beta versions of Nterprise Linux Services are expected to be available on certain HP ProLiant servers in July.,2.6670000553131104
Olivia Colman wins second BAFTA Award,Baftas 2013: Olivia Colman picks up two awards,4.400000095367432
A brown dog laying on a blue cover.,A person is diving into clear blue water.,0.0
